customer_id,date,day_of_week,total_sleep_records,total_minutes_asleep,total_time_in_bed,sleep_efficiency,day_type,total_hours_asleep,total_hours_in_bed
1503960366,2016-04-12,Tuesday,1,327,346,94.5,Weekday,5.45,5.77
1503960366,2016-04-13,Wednesday,2,384,407,94.3,Weekday,6.4,6.78
1503960366,2016-04-15,Friday,1,412,442,93.2,Weekday,6.87,7.37
1503960366,2016-04-16,Saturday,2,340,367,92.6,Weekend,5.67,6.12
1503960366,2016-04-17,Sunday,1,700,712,98.3,Weekend,11.67,11.87
1503960366,2016-04-19,Tuesday,1,304,320,95.0,Weekday,5.07,5.33
1503960366,2016-04-20,Wednesday,1,360,377,95.5,Weekday,6.0,6.28
1503960366,2016-04-21,Thursday,1,325,364,89.3,Weekday,5.42,6.07
1503960366,2016-04-23,Saturday,1,361,384,94.0,Weekend,6.02,6.4
1503960366,2016-04-24,Sunday,1,430,449,95.8,Weekend,7.17,7.48
1503960366,2016-04-25,Monday,1,277,323,85.8,Weekday,4.62,5.38
1503960366,2016-04-26,Tuesday,1,245,274,89.4,Weekday,4.08,4.57
1503960366,2016-04-28,Thursday,1,366,393,93.1,Weekday,6.1,6.55
1503960366,2016-04-29,Friday,1,341,354,96.3,Weekday,5.68,5.9
1503960366,2016-04-30,Saturday,1,404,425,95.1,Weekend,6.73,7.08
1503960366,2016-05-01,Sunday,1,369,396,93.2,Weekend,6.15,6.6
1503960366,2016-05-02,Monday,1,277,309,89.6,Weekday,4.62,5.15
1503960366,2016-05-03,Tuesday,1,273,296,92.2,Weekday,4.55,4.93
1503960366,2016-05-05,Thursday,1,247,264,93.6,Weekday,4.12,4.4
1503960366,2016-05-06,Friday,1,334,367,91.0,Weekday,5.57,6.12
1503960366,2016-05-07,Saturday,1,331,349,94.8,Weekend,5.52,5.82
1503960366,2016-05-08,Sunday,1,594,611,97.2,Weekend,9.9,10.18
1503960366,2016-05-09,Monday,1,338,342,98.8,Weekday,5.63,5.7
1503960366,2016-05-10,Tuesday,1,383,403,95.0,Weekday,6.38,6.72
1503960366,2016-05-11,Wednesday,1,285,306,93.1,Weekday,4.75,5.1
1644430081,2016-04-29,Friday,1,119,127,93.7,Weekday,1.98,2.12
1644430081,2016-04-30,Saturday,1,124,142,87.3,Weekend,2.07,2.37
1644430081,2016-05-02,Monday,1,796,961,82.8,Weekday,13.27,16.02
1644430081,2016-05-08,Sunday,1,137,154,89.0,Weekend,2.28,2.57
1844505072,2016-04-15,Friday,1,644,961,67.0,Weekday,10.73,16.02
1844505072,2016-04-30,Saturday,1,722,961,75.1,Weekend,12.03,16.02
1844505072,2016-05-01,Sunday,1,590,961,61.4,Weekend,9.83,16.02
1927972279,2016-04-12,Tuesday,3,750,775,96.8,Weekday,12.5,12.92
1927972279,2016-04-13,Wednesday,1,398,422,94.3,Weekday,6.63,7.03
1927972279,2016-04-15,Friday,2,475,499,95.2,Weekday,7.92,8.32
1927972279,2016-04-26,Tuesday,1,296,315,94.0,Weekday,4.93,5.25
1927972279,2016-04-28,Thursday,1,166,178,93.3,Weekday,2.77,2.97
2026352035,2016-04-12,Tuesday,1,503,546,92.1,Weekday,8.38,9.1
2026352035,2016-04-13,Wednesday,1,531,565,94.0,Weekday,8.85,9.42
2026352035,2016-04-14,Thursday,1,545,568,96.0,Weekday,9.08,9.47
2026352035,2016-04-15,Friday,1,523,573,91.3,Weekday,8.72,9.55
2026352035,2016-04-16,Saturday,1,524,567,92.4,Weekend,8.73,9.45
2026352035,2016-04-17,Sunday,1,437,498,87.8,Weekend,7.28,8.3
2026352035,2016-04-19,Tuesday,1,498,540,92.2,Weekday,8.3,9.0
2026352035,2016-04-20,Wednesday,1,461,510,90.4,Weekday,7.68,8.5
2026352035,2016-04-21,Thursday,1,477,514,92.8,Weekday,7.95,8.57
2026352035,2016-04-22,Friday,1,520,545,95.4,Weekday,8.67,9.08
2026352035,2016-04-23,Saturday,1,522,554,94.2,Weekend,8.7,9.23
2026352035,2016-04-24,Sunday,1,555,591,93.9,Weekend,9.25,9.85
2026352035,2016-04-25,Monday,1,506,531,95.3,Weekday,8.43,8.85
2026352035,2016-04-27,Wednesday,1,508,545,93.2,Weekday,8.47,9.08
2026352035,2016-04-28,Thursday,1,513,545,94.1,Weekday,8.55,9.08
2026352035,2016-04-29,Friday,1,490,510,96.1,Weekday,8.17,8.5
2026352035,2016-04-30,Saturday,1,573,607,94.4,Weekend,9.55,10.12
2026352035,2016-05-01,Sunday,1,527,546,96.5,Weekend,8.78,9.1
2026352035,2016-05-02,Monday,1,511,543,94.1,Weekday,8.52,9.05
2026352035,2016-05-04,Wednesday,1,538,560,96.1,Weekday,8.97,9.33
2026352035,2016-05-05,Thursday,1,468,485,96.5,Weekday,7.8,8.08
2026352035,2016-05-06,Friday,1,524,548,95.6,Weekday,8.73,9.13
2026352035,2016-05-07,Saturday,1,511,521,98.1,Weekend,8.52,8.68
2026352035,2016-05-08,Sunday,1,541,568,95.2,Weekend,9.02,9.47
2026352035,2016-05-09,Monday,1,531,556,95.5,Weekday,8.85,9.27
2026352035,2016-05-10,Tuesday,1,357,380,93.9,Weekday,5.95,6.33
2026352035,2016-05-11,Wednesday,1,523,553,94.6,Weekday,8.72,9.22
2026352035,2016-05-12,Thursday,1,456,485,94.0,Weekday,7.6,8.08
2320127002,2016-04-23,Saturday,1,61,69,88.4,Weekend,1.02,1.15
2347167796,2016-04-13,Wednesday,1,467,531,87.9,Weekday,7.78,8.85
2347167796,2016-04-14,Thursday,1,445,489,91.0,Weekday,7.42,8.15
2347167796,2016-04-15,Friday,1,452,504,89.7,Weekday,7.53,8.4
2347167796,2016-04-17,Sunday,1,556,602,92.4,Weekend,9.27,10.03
2347167796,2016-04-18,Monday,1,500,557,89.8,Weekday,8.33,9.28
2347167796,2016-04-19,Tuesday,1,465,514,90.5,Weekday,7.75,8.57
2347167796,2016-04-21,Thursday,1,460,484,95.0,Weekday,7.67,8.07
2347167796,2016-04-22,Friday,1,405,461,87.9,Weekday,6.75,7.68
2347167796,2016-04-23,Saturday,1,374,386,96.9,Weekend,6.23,6.43
2347167796,2016-04-24,Sunday,1,442,459,96.3,Weekend,7.37,7.65
2347167796,2016-04-25,Monday,1,433,471,91.9,Weekday,7.22,7.85
2347167796,2016-04-26,Tuesday,1,436,490,89.0,Weekday,7.27,8.17
2347167796,2016-04-27,Wednesday,1,448,499,89.8,Weekday,7.47,8.32
2347167796,2016-04-28,Thursday,1,408,450,90.7,Weekday,6.8,7.5
2347167796,2016-04-29,Friday,1,411,473,86.9,Weekday,6.85,7.88
3977333714,2016-04-12,Tuesday,1,274,469,58.4,Weekday,4.57,7.82
3977333714,2016-04-13,Wednesday,2,295,456,64.7,Weekday,4.92,7.6
3977333714,2016-04-14,Thursday,1,291,397,73.3,Weekday,4.85,6.62
3977333714,2016-04-15,Friday,1,424,556,76.3,Weekday,7.07,9.27
3977333714,2016-04-16,Saturday,1,283,510,55.5,Weekend,4.72,8.5
3977333714,2016-04-17,Sunday,1,381,566,67.3,Weekend,6.35,9.43
3977333714,2016-04-18,Monday,2,412,522,78.9,Weekday,6.87,8.7
3977333714,2016-04-19,Tuesday,1,219,395,55.4,Weekday,3.65,6.58
3977333714,2016-04-20,Wednesday,2,152,305,49.8,Weekday,2.53,5.08
3977333714,2016-04-21,Thursday,1,332,512,64.8,Weekday,5.53,8.53
3977333714,2016-04-22,Friday,1,355,476,74.6,Weekday,5.92,7.93
3977333714,2016-04-23,Saturday,1,235,372,63.2,Weekend,3.92,6.2
3977333714,2016-04-24,Sunday,1,310,526,58.9,Weekend,5.17,8.77
3977333714,2016-04-25,Monday,1,262,467,56.1,Weekday,4.37,7.78
3977333714,2016-04-26,Tuesday,1,250,371,67.4,Weekday,4.17,6.18
3977333714,2016-04-27,Wednesday,1,349,540,64.6,Weekday,5.82,9.0
3977333714,2016-04-28,Thursday,1,261,423,61.7,Weekday,4.35,7.05
3977333714,2016-04-29,Friday,1,333,478,69.7,Weekday,5.55,7.97
3977333714,2016-04-30,Saturday,1,237,382,62.0,Weekend,3.95,6.37
3977333714,2016-05-01,Sunday,1,383,626,61.2,Weekend,6.38,10.43
3977333714,2016-05-02,Monday,1,230,384,59.9,Weekday,3.83,6.4
3977333714,2016-05-03,Tuesday,1,292,500,58.4,Weekday,4.87,8.33
3977333714,2016-05-04,Wednesday,1,213,336,63.4,Weekday,3.55,5.6
3977333714,2016-05-05,Thursday,1,318,480,66.2,Weekday,5.3,8.0
3977333714,2016-05-06,Friday,1,323,512,63.1,Weekday,5.38,8.53
3977333714,2016-05-07,Saturday,1,237,443,53.5,Weekend,3.95,7.38
3977333714,2016-05-08,Sunday,2,259,456,56.8,Weekend,4.32,7.6
3977333714,2016-05-10,Tuesday,1,312,452,69.0,Weekday,5.2,7.53
4020332650,2016-04-12,Tuesday,1,501,541,92.6,Weekday,8.35,9.02
4020332650,2016-04-16,Saturday,1,77,77,100.0,Weekend,1.28,1.28
4020332650,2016-05-03,Tuesday,1,322,332,97.0,Weekday,5.37,5.53
4020332650,2016-05-04,Wednesday,1,478,536,89.2,Weekday,7.97,8.93
4020332650,2016-05-05,Thursday,1,226,248,91.1,Weekday,3.77,4.13
4020332650,2016-05-06,Friday,1,385,408,94.4,Weekday,6.42,6.8
4020332650,2016-05-08,Sunday,1,364,402,90.5,Weekend,6.07,6.7
4020332650,2016-05-10,Tuesday,1,442,494,89.5,Weekday,7.37,8.23
4319703577,2016-04-14,Thursday,1,535,557,96.1,Weekday,8.92,9.28
4319703577,2016-04-15,Friday,1,465,491,94.7,Weekday,7.75,8.18
4319703577,2016-04-16,Saturday,1,506,522,96.9,Weekend,8.43,8.7
4319703577,2016-04-18,Monday,1,515,551,93.5,Weekday,8.58,9.18
4319703577,2016-04-19,Tuesday,2,461,498,92.6,Weekday,7.68,8.3
4319703577,2016-04-20,Wednesday,1,523,543,96.3,Weekday,8.72,9.05
4319703577,2016-04-21,Thursday,1,59,65,90.8,Weekday,0.98,1.08
4319703577,2016-04-22,Friday,1,533,550,96.9,Weekday,8.88,9.17
4319703577,2016-04-23,Saturday,1,692,722,95.8,Weekend,11.53,12.03
4319703577,2016-04-24,Sunday,1,467,501,93.2,Weekend,7.78,8.35
4319703577,2016-04-25,Monday,1,488,506,96.4,Weekday,8.13,8.43
4319703577,2016-04-26,Tuesday,1,505,516,97.9,Weekday,8.42,8.6
4319703577,2016-04-27,Wednesday,1,286,307,93.2,Weekday,4.77,5.12
4319703577,2016-04-28,Thursday,1,497,522,95.2,Weekday,8.28,8.7
4319703577,2016-04-29,Friday,1,523,546,95.8,Weekday,8.72,9.1
4319703577,2016-04-30,Saturday,1,490,516,95.0,Weekend,8.17,8.6
4319703577,2016-05-01,Sunday,1,484,500,96.8,Weekend,8.07,8.33
4319703577,2016-05-02,Monday,1,478,506,94.5,Weekday,7.97,8.43
4319703577,2016-05-03,Tuesday,1,474,512,92.6,Weekday,7.9,8.53
4319703577,2016-05-06,Friday,1,450,491,91.6,Weekday,7.5,8.18
4319703577,2016-05-07,Saturday,1,507,530,95.7,Weekend,8.45,8.83
4319703577,2016-05-08,Sunday,1,602,638,94.4,Weekend,10.03,10.63
4319703577,2016-05-09,Monday,1,535,565,94.7,Weekday,8.92,9.42
4319703577,2016-05-10,Tuesday,1,487,517,94.2,Weekday,8.12,8.62
4319703577,2016-05-11,Wednesday,1,529,558,94.8,Weekday,8.82,9.3
4319703577,2016-05-12,Thursday,1,302,321,94.1,Weekday,5.03,5.35
4388161847,2016-04-15,Friday,1,499,526,94.9,Weekday,8.32,8.77
4388161847,2016-04-16,Saturday,2,426,448,95.1,Weekend,7.1,7.47
4388161847,2016-04-17,Sunday,2,619,641,96.6,Weekend,10.32,10.68
4388161847,2016-04-18,Monday,1,99,104,95.2,Weekday,1.65,1.73
4388161847,2016-04-19,Tuesday,1,329,338,97.3,Weekday,5.48,5.63
4388161847,2016-04-20,Wednesday,1,421,451,93.3,Weekday,7.02,7.52
4388161847,2016-04-21,Thursday,1,442,458,96.5,Weekday,7.37,7.63
4388161847,2016-04-22,Friday,1,82,85,96.5,Weekday,1.37,1.42
4388161847,2016-04-23,Saturday,1,478,501,95.4,Weekend,7.97,8.35
4388161847,2016-04-24,Sunday,3,552,595,92.8,Weekend,9.2,9.92
4388161847,2016-04-26,Tuesday,1,319,346,92.2,Weekday,5.32,5.77
4388161847,2016-04-27,Wednesday,1,439,500,87.8,Weekday,7.32,8.33
4388161847,2016-04-28,Thursday,1,428,458,93.4,Weekday,7.13,7.63
4388161847,2016-04-30,Saturday,2,409,430,95.1,Weekend,6.82,7.17
4388161847,2016-05-01,Sunday,1,547,597,91.6,Weekend,9.12,9.95
4388161847,2016-05-02,Monday,2,368,376,97.9,Weekday,6.13,6.27
4388161847,2016-05-04,Wednesday,1,390,414,94.2,Weekday,6.5,6.9
4388161847,2016-05-05,Thursday,1,471,495,95.2,Weekday,7.85,8.25
4388161847,2016-05-07,Saturday,1,472,496,95.2,Weekend,7.87,8.27
4388161847,2016-05-08,Sunday,2,529,541,97.8,Weekend,8.82,9.02
4388161847,2016-05-09,Monday,1,62,65,95.4,Weekday,1.03,1.08
4388161847,2016-05-10,Tuesday,1,354,375,94.4,Weekday,5.9,6.25
4388161847,2016-05-11,Wednesday,1,469,494,94.9,Weekday,7.82,8.23
4445114986,2016-04-12,Tuesday,2,429,457,93.9,Weekday,7.15,7.62
4445114986,2016-04-13,Wednesday,2,370,406,91.1,Weekday,6.17,6.77
4445114986,2016-04-14,Thursday,1,441,492,89.6,Weekday,7.35,8.2
4445114986,2016-04-15,Friday,2,337,379,88.9,Weekday,5.62,6.32
4445114986,2016-04-16,Saturday,1,462,499,92.6,Weekend,7.7,8.32
4445114986,2016-04-17,Sunday,1,98,107,91.6,Weekend,1.63,1.78
4445114986,2016-04-19,Tuesday,2,388,424,91.5,Weekday,6.47,7.07
4445114986,2016-04-20,Wednesday,1,439,462,95.0,Weekday,7.32,7.7
4445114986,2016-04-21,Thursday,1,436,469,93.0,Weekday,7.27,7.82
4445114986,2016-04-22,Friday,1,388,417,93.0,Weekday,6.47,6.95
4445114986,2016-04-25,Monday,1,328,345,95.1,Weekday,5.47,5.75
4445114986,2016-04-26,Tuesday,2,353,391,90.3,Weekday,5.88,6.52
4445114986,2016-04-27,Wednesday,1,332,374,88.8,Weekday,5.53,6.23
4445114986,2016-04-28,Thursday,1,419,442,94.8,Weekday,6.98,7.37
4445114986,2016-04-29,Friday,1,106,108,98.1,Weekday,1.77,1.8
4445114986,2016-04-30,Saturday,1,322,353,91.2,Weekend,5.37,5.88
4445114986,2016-05-01,Sunday,2,439,459,95.6,Weekend,7.32,7.65
4445114986,2016-05-02,Monday,1,502,542,92.6,Weekday,8.37,9.03
4445114986,2016-05-03,Tuesday,2,417,450,92.7,Weekday,6.95,7.5
4445114986,2016-05-04,Wednesday,2,337,363,92.8,Weekday,5.62,6.05
4445114986,2016-05-05,Thursday,2,462,513,90.1,Weekday,7.7,8.55
4445114986,2016-05-06,Friday,2,374,402,93.0,Weekday,6.23,6.7
4445114986,2016-05-07,Saturday,2,401,436,92.0,Weekend,6.68,7.27
4445114986,2016-05-08,Sunday,1,361,391,92.3,Weekend,6.02,6.52
4445114986,2016-05-09,Monday,1,457,533,85.7,Weekday,7.62,8.88
4445114986,2016-05-10,Tuesday,1,405,426,95.1,Weekday,6.75,7.1
4445114986,2016-05-11,Wednesday,1,499,530,94.2,Weekday,8.32,8.83
4445114986,2016-05-12,Thursday,1,483,501,96.4,Weekday,8.05,8.35
4558609924,2016-04-21,Thursday,1,126,137,92.0,Weekday,2.1,2.28
4558609924,2016-04-26,Tuesday,1,103,121,85.1,Weekday,1.72,2.02
4558609924,2016-04-29,Friday,1,171,179,95.5,Weekday,2.85,2.98
4558609924,2016-05-01,Sunday,1,115,129,89.1,Weekend,1.92,2.15
4558609924,2016-05-08,Sunday,1,123,134,91.8,Weekend,2.05,2.23
4702921684,2016-04-12,Tuesday,1,425,439,96.8,Weekday,7.08,7.32
4702921684,2016-04-13,Wednesday,2,400,430,93.0,Weekday,6.67,7.17
4702921684,2016-04-14,Thursday,1,384,415,92.5,Weekday,6.4,6.92
4702921684,2016-04-15,Friday,1,253,257,98.4,Weekday,4.22,4.28
